GeneName;ID;baseMean;log2FC;pval;padj
0;ENSG00000228987;53.894855;6.59081;0;0
1;ENSG00000121966;50.818653;3.574523;0;0
2;ENSG00000227993;50.148922;5.977003;0;0
3;ENSG00000229074;49.850616;6.524053;0;0
4;ENSG00000140264;47.548317;3.5816956;0;0
5;ENSG00000169442;47.125996;3.208986;0;0
6;ENSG00000228299;46.450077;6.4021764;0;0
7;ENSG00000034510;42.052277;3.0937037;0;0
8;ENSG00000133639;40.85041;1.451018;0;0
9;ENSG00000198830;39.85813;3.373755;0;0
10;ENSG00000104904;39.208103;3.486628;0;0
11;ENSG00000233490;38.27786;4.753961;0;0
12;ENSG00000236884;38.170498;5.022141;0;0
13;ENSG00000225890;37.679394;4.5034122;0;0
14;ENSG00000137818;37.41751;2.1262226;2.02854691352673e-293;1.8167239095037202e-293
15;ENSG00000105369;37.2448;2.389299;1.28622369085495e-293;1.05349659855697e-293
16;ENSG00000092841;36.25455;2.8441117;8.424071542933598e-288;6.232347885850349e-285
17;ENSG00000230708;34.28949;5.2683096;1.12560615687563e-257;7.0938201353317495e-255
18;ENSG00000087086;32.755466;2.6558895;2.538025699824309e-235;1.43956817694035e-232
19;ENSG00000051523;32.510143;2.5267637;7.665991706429379e-232;4.2078875766645895e-229
20;ENSG00000175567;32.256783;3.1609905;2.8260492878340896e-228;1.5027517088057795e-225
21;ENSG00000232112;32.150696;2.7283633;8.63680845707991e-227;4.45345250623248e-224
22;ENSG00000142227;31.799994;3.448802;6.474280397599018e-222;3.2401869189866196e-219
23;ENSG00000105372;31.574297;2.4225304;8.322060236592328e-219;4.045947913881569e-216
24;ENSG00000124172;31.50677;2.7915268;7.01688918117598e-218;3.3166496196358494e-215
25;ENSG00000205542;30.979836;2.3512962;1.0076422608261e-210;4.5121159763728696e-208
26;ENSG00000170315;30.816786;2.6581693;1.5615419353793e-208;6.813127582670309e-206
27;ENSG00000132475;29.518179;1.5963281;1.68267913477533e-191;6.50737912666752e-189
28;ENSG00000187514;29.499;1.996572;2.96515539748787e-191;1.1212240943034098e-188
29;ENSG00000089009;28.552404;2.3140285;2.6223229430288598e-179;9.10641779562838e-177
30;ENSG00000161016;28.305412;2.3487298;2.9644396542187197e-176;1.00885810312372e-173
31;ENSG00000196262;28.231218;2.481096;2.42071577899262e-175;8.07664699908596e-173
32;ENSG00000172757;28.11621;2.4816399;6.2073316321323e-174;2.0312299048531393e-171
33;ENSG00000288920;27.654099;3.2544956;2.4913408893548397e-168;7.570117245225359e-166
34;ENSG00000265972;27.607126;1.7286257;9.137663897733777e-168;2.7278331383129497e-165
